Date, Open, High, Low, Close
11/16/23, 29452.70, 29567.55, 29258.10, 29258.10
11/15/23, 29388.98, 29561.30, 29374.18, 29466.93
11/14/23, 29015.13, 29412.71, 28976.34, 29344.43
11/13/23, 28623.40, 28928.19, 28623.40, 28925.26
11/10/23, 28562.96, 28581.31, 28390.37, 28504.43
11/09/23, 28443.43, 28691.79, 28386.64, 28644.09
11/08/23, 28331.91, 28649.34, 28191.63, 28433.33
11/07/23, 28474.02, 28689.56, 28328.21, 28395.90
11/06/23, 28792.03, 28809.60, 28547.80, 28592.60
11/03/23, 28611.52, 28746.28, 28509.03, 28674.83
11/02/23, 28207.32, 28566.72, 28180.97, 28479.39
11/01/23, 27843.29, 28079.99, 27676.63, 27985.44
10/31/23, 27421.55, 27794.15, 27383.85, 27741.91
10/30/23, 27405.09, 27568.89, 27305.33, 27339.91
10/27/23, 27646.39, 27705.15, 27228.14, 27287.45
10/26/23, 27244.39, 27585.56, 27078.49, 27507.90
10/25/23, 27491.63, 27515.21, 27235.79, 27428.60
10/24/23, 27575.00, 27676.27, 27293.49, 27572.74
10/23/23, 27450.88, 27598.32, 27198.81, 27558.78
10/20/23, 27569.89, 27635.28, 27336.09, 27357.00
10/19/23, 28018.61, 28018.61, 27715.56, 27746.82
10/18/23, 28351.70, 28513.83, 28101.73, 28135.79
10/17/23, 28355.49, 28526.97, 28139.17, 28367.36
10/16/23, 28332.57, 28460.00, 28064.03, 28391.60
10/13/23, 28429.59, 28534.49, 28209.64, 28237.02
10/12/23, 28578.82, 28753.37, 28449.82, 28493.35
10/11/23, 28163.07, 28586.80, 28163.07, 28419.06
10/10/23, 27944.57, 28361.50, 27944.57, 28318.22
10/09/23, 27716.10, 27831.04, 27467.42, 27682.06
10/06/23, 27605.62, 27839.68, 27433.41, 27810.61
10/05/23, 27515.25, 27628.15, 27317.89, 27490.81
10/04/23, 27351.29, 27588.60, 27145.96, 27435.59
10/03/23, 27708.08, 27950.57, 27443.59, 27482.21
10/02/23, 28243.26, 28301.90, 27777.73, 27849.65
09/29/23, 28307.34, 28506.38, 28189.68, 28243.26
09/28/23, 28015.94, 28177.54, 27811.08, 28163.03
09/27/23, 28109.34, 28220.52, 27931.78, 28012.30
09/26/23, 28273.75, 28289.91, 27993.26, 28098.88
09/25/23, 28518.77, 28676.46, 28116.43, 28382.19
09/22/23, 28528.33, 28703.32, 28474.37, 28575.90
09/21/23, 28993.83, 29078.10, 28646.39, 28708.55
09/20/23, 28784.40, 29275.42, 28755.53, 29229.30
09/19/23, 28527.56, 28795.36, 28506.36, 28757.63
09/18/23, 28871.01, 28916.30, 28492.27, 28585.86
09/15/23, 29053.52, 29129.50, 28845.90, 28895.39
09/14/23, 28412.13, 28918.60, 28303.02, 28872.73
09/13/23, 28498.81, 28575.80, 28247.42, 28481.77
09/12/23, 28594.70, 28607.90, 28424.93, 28584.58
09/11/23, 28433.10, 28550.32, 28353.76, 28525.10
09/08/23, 28263.23, 28306.12, 27864.31, 28233.20
09/07/23, 28102.84, 28295.69, 28001.76, 28155.58
09/06/23, 28551.83, 28634.18, 28211.46, 28211.46
09/05/23, 28519.18, 28740.72, 28443.80, 28652.18
09/04/23, 28801.09, 28895.78, 28602.84, 28647.33
09/01/23, 28814.65, 28955.08, 28622.44, 28650.49
08/31/23, 28937.63, 29045.57, 28831.52, 28831.52
08/30/23, 28966.63, 29102.58, 28849.81, 28916.70
08/29/23, 28632.97, 28894.47, 28601.27, 28889.76
08/28/23, 28431.72, 28630.19, 28385.46, 28544.56
08/25/23, 28047.18, 28418.77, 28039.26, 28208.45
08/24/23, 28485.14, 28544.01, 28072.12, 28072.12
08/23/23, 28268.10, 28381.42, 28132.61, 28233.80
08/22/23, 28141.05, 28318.56, 28045.86, 28164.99
08/21/23, 27851.00, 28232.75, 27842.26, 27986.92
08/18/23, 27779.05, 27800.68, 27566.16, 27761.98
08/17/23, 28048.20, 28161.95, 27849.72, 27879.35
08/16/23, 28061.21, 28404.72, 28034.66, 28169.96
08/14/23, 28216.25, 28504.36, 28197.09, 28435.49
08/11/23, 28442.53, 28477.01, 28241.63, 28274.74
08/10/23, 28474.27, 28687.11, 28438.83, 28575.05
08/09/23, 28323.80, 28524.55, 28217.88, 28308.09
08/08/23, 28382.71, 28444.07, 27770.85, 27942.25
08/07/23, 28555.75, 28687.00, 28334.10, 28547.61
08/04/23, 28760.38, 28792.38, 28494.73, 28586.37
08/03/23, 28823.85, 28829.67, 28469.81, 28702.74
08/02/23, 29040.27, 29186.85, 28814.76, 28974.54
08/01/23, 29642.17, 29757.68, 29272.87, 29356.16
07/31/23, 29510.40, 29712.36, 29489.59, 29644.71
07/28/23, 29551.41, 29598.65, 29447.80, 29500.20
07/27/23, 29105.24, 29597.81, 29042.83, 29597.81
07/26/23, 29101.02, 29154.17, 28778.83, 28980.45
07/25/23, 28987.98, 28988.17, 28845.02, 28966.41
07/24/23, 28688.30, 28912.88, 28647.68, 28908.42
07/21/23, 28808.17, 28919.54, 28800.44, 28855.09
07/20/23, 28633.68, 28865.60, 28630.44, 28815.75
07/19/23, 28801.13, 28896.29, 28630.27, 28712.31
07/18/23, 28610.72, 28723.55, 28535.02, 28706.76
07/17/23, 28546.33, 28727.67, 28527.77, 28608.54
07/14/23, 28760.79, 28824.96, 28625.17, 28663.30
07/13/23, 28578.13, 28875.97, 28574.92, 28774.77
07/12/23, 28184.58, 28598.99, 28171.19, 28552.18
07/11/23, 27968.54, 28102.91, 27834.76, 28061.59
07/10/23, 27714.74, 27997.44, 27620.12, 27872.00
07/07/23, 27531.11, 27792.42, 27381.32, 27778.32
07/06/23, 27991.31, 28038.18, 27419.50, 27506.91
07/05/23, 28271.93, 28405.23, 28184.87, 28220.18
07/04/23, 28502.95, 28557.61, 28382.57, 28386.88
07/03/23, 28379.06, 28550.30, 28369.96, 28446.90
06/30/23, 28078.55, 28312.24, 28048.43, 28230.83
06/29/23, 27665.79, 27964.25, 27648.09, 27928.44
06/28/23, 27557.12, 27644.34, 27434.77, 27637.46
06/27/23, 27397.33, 27443.41, 27178.26, 27401.09
06/26/23, 27229.03, 27318.20, 26864.00, 27242.91
06/23/23, 27272.13, 27328.41, 27110.65, 27209.66
06/22/23, 27368.04, 27509.32, 27082.87, 27410.08
06/21/23, 27586.18, 27731.35, 27562.51, 27609.37
06/20/23, 27656.96, 27821.78, 27574.28, 27576.11
06/19/23, 27724.32, 27896.28, 27701.42, 27754.18
06/16/23, 27756.96, 27960.54, 27693.65, 27861.80
06/15/23, 27725.22, 27786.53, 27552.88, 27731.78
06/14/23, 27578.92, 27970.21, 27565.66, 27809.09
06/13/23, 27510.93, 27613.01, 27353.50, 27566.03
06/12/23, 27265.93, 27469.46, 27232.14, 27410.47
06/09/23, 27290.24, 27366.36, 27094.00, 27162.02
06/08/23, 27059.29, 27383.85, 27004.69, 27275.04
06/07/23, 27012.73, 27055.50, 26778.16, 27055.50
06/06/23, 26789.15, 27036.67, 26687.12, 27036.67
06/05/23, 27111.30, 27111.30, 26726.37, 26856.85
06/02/23, 26752.17, 27105.03, 26634.41, 27068.33
06/01/23, 26279.84, 26582.72, 26277.60, 26575.69
05/31/23, 26394.77, 26541.82, 26000.47, 26051.33
05/30/23, 26578.64, 26807.45, 26507.63, 26575.76
05/29/23, 26876.18, 26881.26, 26502.92, 26617.35
05/26/23, 26510.41, 26767.95, 26178.65, 26713.40
05/25/23, 26572.73, 26585.18, 26286.90, 26408.00
05/24/23, 26986.94, 26989.42, 26459.28, 26524.54
05/23/23, 27251.97, 27315.13, 27127.02, 27174.97
05/22/23, 27257.02, 27484.86, 27186.66, 27310.70
05/19/23, 27335.75, 27674.33, 27310.99, 27520.33
05/18/23, 27400.53, 27587.60, 27235.65, 27235.65
05/17/23, 27063.78, 27238.40, 26937.77, 27196.46
05/16/23, 27185.79, 27367.67, 27110.35, 27198.87
05/15/23, 27451.05, 27483.66, 27172.76, 27245.46
05/12/23, 27249.79, 27436.15, 27222.35, 27347.32
05/11/23, 27315.12, 27371.31, 26896.40, 27098.89
05/10/23, 27439.73, 27476.45, 27172.39, 27264.77
05/09/23, 27445.15, 27485.79, 27205.83, 27383.53
05/08/23, 27374.83, 27473.85, 27311.62, 27426.23
05/05/23, 26867.94, 27354.08, 26805.40, 27348.57
05/04/23, 26765.64, 26800.30, 26494.76, 26670.29
05/03/23, 26765.42, 27002.64, 26756.76, 26835.31
05/02/23, 27163.33, 27343.28, 26608.30, 26630.09
04/28/23, 27251.58, 27282.56, 26668.16, 27077.44
04/27/23, 27116.94, 27227.93, 27006.66, 27158.00
04/26/23, 27101.24, 27166.78, 26852.19, 27107.51
04/25/23, 27395.08, 27397.36, 27161.12, 27253.48
04/24/23, 27407.70, 27588.08, 27375.35, 27537.07
04/21/23, 27624.99, 27757.12, 27482.96, 27745.81
04/20/23, 27922.16, 27937.09, 27556.79, 27627.12
04/19/23, 27877.78, 28029.16, 27795.69, 27933.61
04/18/23, 27850.73, 28007.93, 27732.15, 27891.43
04/17/23, 27939.30, 28109.62, 27699.79, 27700.21
04/14/23, 27742.40, 27931.79, 27693.58, 27872.24
04/13/23, 27684.40, 27711.32, 27509.53, 27626.61
04/12/23, 27533.43, 27951.52, 27518.25, 27629.34
04/11/23, 27432.65, 27525.51, 27362.92, 27525.51
04/06/23, 26956.98, 27221.75, 26951.94, 27213.86
04/05/23, 27020.02, 27081.80, 26782.98, 26867.39
04/04/23, 27250.27, 27342.96, 27013.19, 27026.56
04/03/23, 27183.07, 27314.57, 27155.88, 27179.37
03/31/23, 27023.12, 27185.76, 26882.63, 27113.95
03/30/23, 26888.82, 27107.79, 26856.93, 27021.04
03/29/23, 26459.84, 26741.30, 26419.72, 26739.01
03/28/23, 26482.93, 26498.58, 26161.00, 26329.46
03/27/23, 26273.57, 26349.22, 25997.99, 26206.67
03/24/23, 26291.66, 26310.73, 25708.62, 25892.18
03/23/23, 26457.86, 26606.75, 26248.24, 26482.21
03/22/23, 26518.52, 26678.40, 26439.12, 26523.33
03/21/23, 26184.50, 26694.37, 26169.41, 26554.33
03/20/23, 25246.01, 25999.97, 24751.07, 25899.57
03/17/23, 26144.67, 26372.42, 25330.39, 25494.54
03/16/23, 25979.72, 26175.46, 25305.52, 25918.76
03/15/23, 26694.86, 26859.67, 25513.32, 25565.84
03/14/23, 26195.93, 26844.16, 26086.84, 26800.98
03/13/23, 27201.56, 27201.56, 25994.81, 26183.54
03/10/23, 27139.99, 27319.71, 26981.79, 27281.96
03/09/23, 27918.57, 27948.68, 27559.28, 27710.53
03/08/23, 27668.71, 27922.03, 27664.13, 27911.52
03/07/23, 27888.30, 28017.76, 27756.64, 27761.57
03/06/23, 27947.98, 28049.84, 27827.85, 27949.29
03/03/23, 27572.07, 27839.11, 27560.52, 27825.08
03/02/23, 27233.86, 27426.28, 27035.97, 27397.60
03/01/23, 27560.73, 27704.80, 27275.43, 27315.08
02/28/23, 27345.22, 27654.75, 27252.71, 27478.37
02/27/23, 27215.07, 27541.64, 27202.03, 27444.31
02/24/23, 27376.86, 27413.24, 26960.65, 26986.35
02/23/23, 27180.71, 27449.23, 27131.50, 27277.62
02/22/23, 27362.10, 27388.74, 26867.50, 27101.53
02/21/23, 27523.97, 27575.46, 27156.76, 27409.34
02/20/23, 27843.31, 27851.56, 27589.61, 27597.01
02/17/23, 27690.70, 27857.16, 27473.73, 27751.14
02/16/23, 27685.30, 27876.22, 27611.56, 27853.74
02/15/23, 27482.70, 27585.39, 27425.76, 27533.69
02/14/23, 27507.70, 27680.63, 27438.08, 27498.26
02/13/23, 27348.90, 27457.51, 27284.60, 27438.61
02/10/23, 27442.54, 27563.34, 27095.43, 27268.17
02/09/23, 27314.56, 27583.51, 27311.92, 27503.75
02/08/23, 27290.02, 27377.01, 27160.73, 27160.73
02/07/23, 27105.03, 27218.87, 27022.46, 27118.74
02/06/23, 26800.21, 27022.33, 26692.35, 27022.33
02/03/23, 26988.75, 27014.92, 26703.26, 26950.74
02/02/23, 26851.16, 27132.80, 26831.63, 27100.62
02/01/23, 26708.34, 26827.09, 26627.10, 26703.87
01/31/23, 26346.86, 26622.96, 26245.47, 26599.74
01/30/23, 26384.84, 26438.54, 26274.78, 26335.98
01/27/23, 26251.82, 26473.23, 26196.57, 26435.75
01/26/23, 26012.99, 26217.56, 25979.56, 26217.56
01/25/23, 25902.43, 25917.32, 25715.17, 25875.30
01/24/23, 25908.74, 25929.73, 25735.41, 25884.31
01/23/23, 25827.19, 25897.17, 25618.25, 25821.45
01/20/23, 25766.18, 25833.94, 25690.15, 25775.52
01/19/23, 25943.35, 25976.05, 25596.28, 25596.28
01/18/23, 26013.91, 26149.47, 25950.55, 26052.39
01/17/23, 25915.13, 26072.47, 25703.84, 25981.19
01/16/23, 25874.74, 25932.99, 25753.44, 25901.33
01/13/23, 25746.91, 25861.15, 25650.84, 25783.48
01/12/23, 25613.23, 25802.58, 25558.69, 25733.96
01/11/23, 25403.69, 25603.16, 25314.21, 25546.86
01/10/23, 25291.96, 25389.96, 25244.14, 25364.61
01/09/23, 25210.14, 25454.86, 25195.19, 25385.09
01/06/23, 24934.01, 25180.35, 24821.37, 25180.35
01/05/23, 24804.54, 24939.26, 24758.96, 24832.70
01/04/23, 24532.18, 24920.40, 24484.29, 24860.56
01/03/23, 24164.72, 24611.64, 24111.24, 24436.47
01/02/23, 23868.50, 24158.28, 23861.97, 24158.28
12/30/22, 23924.00, 23956.21, 23702.20, 23706.96
12/29/22, 23688.99, 24064.64, 23645.00, 24056.55
12/28/22, 23849.55, 23913.47, 23721.01, 23770.44
12/27/22, 24033.41, 24081.45, 23807.83, 23855.86
12/23/22, 23830.13, 23938.36, 23772.87, 23877.55
12/22/22, 24126.21, 24191.81, 23786.29, 23813.30
12/21/22, 23820.00, 24111.97, 23757.35, 24111.97
12/20/22, 23411.09, 23758.60, 23353.17, 23718.25
12/19/22, 23764.54, 23911.84, 23660.58, 23683.54
12/16/22, 23738.67, 23814.76, 23505.34, 23688.16
12/15/22, 24423.79, 24480.57, 23726.05, 23726.05
12/14/22, 24588.27, 24666.68, 24514.09, 24573.93
12/13/22, 24396.00, 24899.20, 24292.39, 24636.94
12/12/22, 24173.20, 24352.55, 24132.58, 24303.68
12/09/22, 24333.38, 24333.38, 23940.98, 24277.49
12/08/22, 24277.60, 24299.84, 24103.31, 24207.42
12/07/22, 24255.86, 24428.77, 24155.42, 24241.35
12/06/22, 24511.16, 24582.29, 24265.45, 24265.45
12/05/22, 24606.70, 24674.02, 24495.36, 24547.84
12/02/22, 24625.37, 24701.67, 24414.63, 24621.72
12/01/22, 24805.53, 24857.02, 24598.67, 24685.67
11/30/22, 24585.40, 24685.00, 24474.55, 24610.29
11/29/22, 24532.99, 24562.38, 24252.57, 24465.95
11/28/22, 24556.57, 24600.04, 24407.48, 24440.88
11/25/22, 24744.49, 24803.45, 24655.94, 24718.81
11/24/22, 24634.30, 24761.27, 24593.41, 24730.89
11/23/22, 24612.91, 24612.91, 24398.94, 24581.14
11/22/22, 24456.20, 24656.77, 24351.30, 24590.50
11/21/22, 24509.40, 24567.07, 24315.47, 24356.05
11/18/22, 24501.35, 24700.21, 24421.76, 24675.18
11/17/22, 24626.00, 24679.80, 24184.06, 24339.67
11/16/22, 24724.89, 24759.24, 24514.40, 24531.27
11/15/22, 24672.73, 24764.28, 24498.49, 24699.75
11/14/22, 24582.83, 24725.05, 24512.41, 24596.69
11/11/22, 24539.20, 24676.07, 24401.69, 24455.57
11/10/22, 23669.64, 24440.11, 23668.79, 24394.28
11/09/22, 23697.12, 23847.33, 23626.45, 23780.07
11/08/22, 23430.78, 23731.73, 23378.27, 23694.17
11/07/22, 23185.82, 23525.01, 23158.32, 23493.00
11/04/22, 22815.31, 23392.21, 22653.40, 23282.46
11/03/22, 22564.80, 22706.02, 22507.35, 22706.02
11/02/22, 22865.14, 22970.36, 22778.13, 22802.97
11/01/22, 22859.53, 23101.58, 22730.02, 22795.64
10/31/22, 22604.33, 22725.16, 22459.18, 22652.11
10/28/22, 22384.74, 22560.23, 22254.88, 22529.20
10/27/22, 22284.57, 22633.89, 22187.62, 22590.41
10/26/22, 22243.90, 22405.47, 22130.10, 22389.78
10/25/22, 22084.71, 22289.85, 21857.94, 22289.85
10/24/22, 21756.99, 22140.99, 21570.50, 21982.95
10/21/22, 21508.67, 21643.43, 21261.47, 21567.55
10/20/22, 21464.58, 21753.75, 21397.88, 21701.50
10/19/22, 21636.69, 21656.92, 21398.47, 21472.11
10/18/22, 21514.26, 21827.57, 21503.34, 21518.78
10/17/22, 20977.80, 21389.58, 20855.72, 21319.73
10/14/22, 21104.90, 21308.96, 20901.66, 20930.81
10/13/22, 20408.33, 20825.69, 20191.69, 20785.82
10/12/22, 20704.73, 20755.21, 20420.83, 20466.77
10/11/22, 20719.90, 20798.56, 20502.43, 20730.50
10/10/22, 20732.07, 20974.50, 20717.59, 20912.96
10/07/22, 21026.60, 21255.06, 20862.07, 20901.56
10/06/22, 21462.93, 21499.72, 21043.44, 21140.55
10/05/22, 21545.56, 21620.00, 21177.04, 21360.72
10/04/22, 21268.01, 21690.65, 21206.83, 21690.65
10/03/22, 20474.53, 20972.57, 20360.70, 20972.57
09/30/22, 20482.10, 20692.23, 20415.57, 20648.85
09/29/22, 20836.97, 20847.83, 20183.45, 20352.98
09/28/22, 20767.88, 20906.32, 20481.73, 20852.67
09/27/22, 21395.62, 21493.12, 20961.38, 20961.38
09/26/22, 20953.65, 21389.07, 20953.65, 21207.25
09/23/22, 21741.41, 21759.37, 21040.03, 21066.55
09/22/22, 21708.67, 22185.70, 21681.84, 21799.11
09/21/22, 21620.33, 22035.81, 21615.42, 22035.81
09/20/22, 22272.85, 22367.24, 21730.24, 21773.75
09/19/22, 22039.81, 22265.50, 21774.12, 22140.73
09/16/22, 22077.36, 22224.34, 21895.51, 22110.89
09/15/22, 22418.21, 22572.84, 22280.87, 22365.82
09/14/22, 22211.13, 22501.71, 22201.89, 22413.46
09/13/22, 22698.90, 22881.81, 22303.86, 22303.86
09/12/22, 22227.24, 22668.16, 22217.73, 22610.40
09/09/22, 21764.94, 22166.55, 21759.00, 22094.56
09/08/22, 21616.48, 21728.24, 21203.02, 21678.08
09/07/22, 21317.88, 21545.34, 21283.18, 21489.36
09/06/22, 21479.36, 21625.91, 21316.67, 21480.61
09/05/22, 21449.01, 21553.32, 21269.57, 21480.19
09/02/22, 21422.95, 21947.02, 21375.58, 21921.26
09/01/22, 21337.51, 21446.54, 21223.47, 21302.16
08/31/22, 21951.70, 21993.82, 21559.32, 21559.32
08/30/22, 21960.23, 22229.19, 21759.84, 21825.22
08/29/22, 21663.96, 21903.78, 21538.53, 21841.88
08/26/22, 22556.32, 22565.43, 21888.34, 21895.25
08/25/22, 22580.92, 22607.32, 22319.18, 22454.43
08/24/22, 22299.97, 22466.13, 22134.05, 22431.47
08/23/22, 22069.87, 22475.01, 22041.52, 22380.06
08/22/22, 22356.43, 22433.04, 22042.09, 22165.66
08/19/22, 22891.09, 22931.40, 22522.49, 22534.57
08/18/22, 22788.13, 22985.70, 22786.32, 22985.70
08/17/22, 23090.61, 23153.82, 22726.49, 22757.81
08/16/22, 23083.26, 23153.68, 22961.54, 22997.83
08/12/22, 22869.05, 23015.45, 22865.82, 22970.73
08/11/22, 22814.26, 22870.02, 22755.36, 22858.18
08/10/22, 22418.92, 22733.01, 22354.02, 22702.44
08/09/22, 22728.09, 22770.86, 22469.68, 22488.49
08/08/22, 22721.97, 22827.98, 22559.87, 22727.94
08/05/22, 22677.03, 22732.03, 22499.65, 22586.88
08/04/22, 22650.38, 22879.89, 22589.57, 22645.84
08/03/22, 22374.68, 22581.15, 22300.29, 22574.90
08/02/22, 22386.03, 22402.39, 22156.37, 22351.02
08/01/22, 22525.94, 22808.20, 22429.47, 22429.47
07/29/22, 22196.54, 22494.08, 22119.54, 22405.48
07/28/22, 21700.42, 21932.06, 21636.19, 21932.06
07/27/22, 21291.66, 21497.83, 21252.41, 21480.70
07/26/22, 21350.81, 21371.04, 21146.17, 21159.98
07/25/22, 21152.62, 21413.62, 21115.01, 21382.71
07/22/22, 21165.04, 21385.17, 21093.98, 21211.98
07/21/22, 20918.00, 21322.81, 20724.86, 21196.59
07/20/22, 21770.96, 21841.55, 21206.89, 21348.42
07/19/22, 21003.45, 21704.78, 21002.38, 21696.20
07/18/22, 20933.26, 21294.34, 20931.05, 21169.12
07/15/22, 20568.47, 20977.18, 20469.13, 20933.26
07/14/22, 21142.58, 21168.98, 20420.57, 20554.33
07/13/22, 21404.62, 21431.42, 21038.80, 21286.33
07/12/22, 21414.24, 21511.14, 21285.38, 21485.70
